Animal,Count,Sample_ID,Site_ID,DSclass
Hyena,1,11,7,2
Lion,1,12,2,1
BandedMongoose,19,12,5,1
BandedMongoose,1,12,7,3
Serval,1,12,1,1
Hyena,2,12,7,1
Hyena,1,12,8,1
BandedMongoose,10,12,4,1
BlackBackedJackal,1,12,7,3
Hyena,7,12,7,3
Hyena,1,12,7,4
Hyena,1,12,7,4
Hyena,1,12,7,5
BandedMongoose,3,12,8,2
BandedMongoose,10,12,8,2
BandedMongoose,19,12,5,1
Lion,4,12,6,1
BandedMongoose,20,13,5,1
BandedMongoose,10,13,7,1
Hyena,1,13,6,3
BatEaredFox,2,13,7,1
Hyena,3,13,7,1
BatEaredFox,2,13,7,1
Hyena,1,13,7,4
Hyena,1,13,7,2
Hyena,1,13,7,2
Lion,9,13,8,2
BandedMongoose,10,13,4,1
BandedMongoose,18,13,5,1
Hyena,3,14,1,1
Hyena,2,14,1,4
Hyena,1,14,1,4
Lion,1,14,2,10
Hyena,1,14,6,2
Hyena,1,14,8,1
SlenderMongoose,2,14,6,1
Hyena,2,14,7,2
Hyena,1,14,3,1
Hyena,1,14,6,3
Hyena,2,14,7,5
Hyena,1,14,8,6
SideStripedJackal,1,14,1,2
BandedMongoose,5,14,6,1
Hyena,1,15,4,4
Hyena,1,15,8,1
Lion,4,15,5,6
BlackBackedJackal,1,15,6,4
BandedMongoose,19,15,8,1
SlenderMongoose,1,15,8,1
Lion,11,16,4,1
BandedMongoose,23,16,6,2
Hyena,1,16,4,1
BandedMongoose,20,16,5,1
BlackBackedJackal,6,16,6,1
Hyena,1,1,11,1
Hyena,1,1,11,1
Hyena,2,1,12,1
BlackBackedJackal,2,2,9,1
Lion,1,2,11,1
Lion,1,2,11,2
BlackBackedJackal,2,2,11,5
Hyena,1,2,11,4
BlackBackedJackal,1,2,11,2
Cheetah,1,2,11,2
BandedMongoose,16,2,12,1
BlackBackedJackal,2,3,12,2
Hyena,1,3,11,1
Hyena,2,3,11,1
Lion,1,3,11,9
Hyena,3,3,12,2
Hyena,1,3,12,4
Hyena,3,3,12,2
BatEaredFox,2,3,12,1
Lion,3,3,12,2
Hyena,1,3,12,3
Hyena,2,4,9,3
Lion,1,4,11,4
BatEaredFox,6,4,12,1
BandedMongoose,12,4,12,2
BatEaredFox,1,4,12,1
BandedMongoose,15,4,13,1
BandedMongoose,18,4,12,1
BatEaredFox,2,4,12,1
BatEaredFox,2,4,12,1
BatEaredFox,1,4,11,1
BatEaredFox,3,4,12,1
BandedMongoose,19,4,12,2
BlackBackedJackal,2,4,13,1
BandedMongoose,16,4,11,1
BlackBackedJackal,1,5,9,1
Lion,7,5,9,3
BlackBackedJackal,1,5,9,1
BatEaredFox,6,5,11,1
Hyena,1,5,12,1
BandedMongoose,11,5,13,1
Lion,9,5,10,3
Lion,1,5,11,3
BatEaredFox,7,5,11,1
Lion,1,5,11,1
BatEaredFox,8,5,12,1
BatEaredFox,1,5,11,1
BatEaredFox,9,5,12,1
Hyena,1,5,12,2
Hyena,1,5,12,5
BlackBackedJackal,2,5,12,1
SlenderMongoose,3,5,9,1
Lion,3,5,11,3
Serval,1,6,10,1
BlackBackedJackal,2,6,11,1
Hyena,1,6,12,7
Hyena,1,6,13,1
BatEaredFox,5,6,12,1
Hyena,1,6,13,3
Hyena,1,6,13,1
BlackBackedJackal,2,7,11,1
Hyena,1,7,11,1
BatEaredFox,2,7,11,1
BandedMongoose,7,7,11,1
Hyena,1,7,12,1
Hyena,1,7,13,2
BandedMongoose,3,7,10,1
Hyena,1,7,11,1
BlackBackedJackal,2,7,11,2
BatEaredFox,2,7,11,1
BatEaredFox,1,7,11,1
BandedMongoose,7,7,11,1
BatEaredFox,2,7,12,1
BlackBackedJackal,1,7,13,1
Hyena,1,7,12,1
Hyena,1,7,12,1
Leopard,1,7,13,1
BandedMongoose,12,7,11,1
BandedMongoose,9,9,11,4
BatEaredFox,2,9,11,1
Hyena,1,9,13,3
Hyena,1,8,12,9
Hyena,1,8,12,1
BatEaredFox,1,8,13,1
Lion,3,8,10,7
Hyena,1,8,12,1
Hyena,2,8,12,1
BatEaredFox,4,8,12,1
Hyena,1,8,12,2
Hyena,1,8,12,3
Hyena,1,8,10,1
Hyena,1,9,12,1
Hyena,1,9,12,1
Hyena,1,10,11,5
BlackBackedJackal,1,10,11,1
BlackBackedJackal,1,10,12,2
SlenderMongoose,1,10,13,1
BlackBackedJackal,1,10,10,1
BlackBackedJackal,1,10,11,1
BlackBackedJackal,1,10,11,2
BatEaredFox,3,10,12,1
BatEaredFox,3,10,12,1
Hyena,1,10,10,2
Hyena,1,11,9,3
BlackBackedJackal,2,11,10,1
Hyena,2,11,11,1
BatEaredFox,2,11,13,2
Hyena,4,11,13,2
Serval,1,11,11,1
Hyena,1,11,12,1
Hyena,1,11,12,1
Hyena,5,11,12,1
Hyena,1,11,13,2
Hyena,1,12,10,1
Lion,8,12,10,1
BandedMongoose,5,12,11,3
BatEaredFox,2,12,11,1
BatEaredFox,1,12,11,1
BatEaredFox,3,12,12,1
Hyena,1,12,13,2
Lion,3,12,13,1
Lion,8,12,10,3
BlackBackedJackal,1,12,12,3
BatEaredFox,2,12,12,1
Serval,1,12,13,2
BlackBackedJackal,2,12,11,2
Hyena,2,12,12,1
Hyena,1,12,12,2
Hyena,1,12,12,3
BatEaredFox,2,12,12,1
Hyena,3,12,12,3
Hyena,1,12,13,4
Hyena,1,12,13,2
BandedMongoose,9,12,9,1
Hyena,4,13,9,1
BlackBackedJackal,1,13,10,1
BlackBackedJackal,7,13,11,1
BandedMongoose,13,13,12,2
BatEaredFox,3,13,13,1
Lion,2,13,10,4
BandedMongoose,4,13,10,1
BatEaredFox,3,13,11,1
BatEaredFox,2,13,11,1
BandedMongoose,15,13,12,2
Hyena,1,13,9,4
Hyena,2,13,11,1
BatEaredFox,2,13,11,1
BlackBackedJackal,2,13,11,2
Hyena,2,13,11,1
Hyena,1,13,11,2
BlackBackedJackal,2,13,12,2
BlackBackedJackal,6,13,12,3
Hyena,1,13,12,2
Serval,1,13,10,2
Hyena,1,14,9,1
Hyena,1,14,9,2
Hyena,3,14,10,1
Lion,4,14,12,2
Hyena,10,14,13,3
Hyena,3,14,10,7
BlackBackedJackal,2,14,10,1
Hyena,1,14,11,3
Hyena,5,14,11,1
Hyena,1,14,11,2
Lion,3,14,12,2
BatEaredFox,3,14,12,3
Hyena,1,14,13,3
BandedMongoose,5,14,9,1
Hyena,3,14,10,1
Hyena,1,14,12,2
Hyena,1,14,12,1
Hyena,1,14,10,1
Hyena,1,14,10,2
Hyena,1,14,13,2
BlackBackedJackal,1,15,10,2
Hyena,1,15,11,1
BatEaredFox,2,15,11,2
Hyena,1,15,12,3
Hyena,1,15,12,2
BandedMongoose,2,15,13,1
Hyena,1,15,10,1
BatEaredFox,4,15,12,1
BatEaredFox,4,15,12,1
BlackBackedJackal,1,15,13,4
Serval,1,15,9,1
Hyena,2,16,10,2
Hyena,3,16,11,1
Hyena,1,16,11,2
Hyena,1,16,11,1
Hyena,2,16,11,4
Hyena,3,16,12,1
Hyena,1,16,12,1
BandedMongoose,20,16,12,2
Lion,9,16,10,1
BatEaredFox,5,16,12,2
BandedMongoose,11,16,13,1
BlackBackedJackal,1,16,12,2
BatEaredFox,3,16,13,1
