FID,Animal,Count,Bearing,Distance,NObservers,Vehicle,Day,Month,Year,Territory,StartingTi,Time,CarNorthin,CarEasting,AdjNorthin,AdjEasting,AccurateCo,FirstDetec,Sample_ID,Site_ID,DSclass
216,Hyena,1,153,120.5,1,GreenCruiserKAS,9,2,2014,West,7:01,8:44,9835907.323,748697.1331,9835799.957,748751.8389,1,1,13,14,2
217,BlackBackedJackal,1,152,272.5,1,GreenCruiserKAS,9,2,2014,West,7:01,8:46,9835413.279,748571.1594,9835172.676,748699.0904,1,1,13,14,3
218,Hyena,1,288,310,1,GreenCruiserKAS,9,2,2014,West,7:01,9:21,9834404.349,746941.6606,9834500.144,746646.8331,1,1,13,15,6
219,BandedMongoose,10,32,51.5,3,WhiteCruiser,14,7,2012,North,6:33,14:52,9847466.288,724439.9359,9847509.962,724467.2267,0,1,1,8,1
220,BlackBackedJackal,2,224,172,2,WhiteCruiser,15,7,2012,North,6:29,8:58,9849333.751,721143.9709,9849210.024,721024.4896,1,1,1,6,3
221,Hyena,2,219,833,2,WhiteCruiser,15,7,2012,North,6:29,8:58,9849333.751,721143.9709,9848686.388,720619.747,1,1,1,6,1
222,Hyena,1,37,84,2,WhiteCruiser,15,7,2012,North,6:29,10:42,9847158.344,724211.5167,9847225.43,724262.0692,1,1,1,8,1
223,Lion,9,173,92,2,WhiteCruiser,15,7,2012,North,6:29,11:20,9843796.08,722097.6027,9843704.766,722108.8147,1,1,1,8,1
224,BlackBackedJackal,1,325,117,2,WhiteCruiser,16,7,2012,North,6:30,7:04,9845147.829,723010.8795,9845243.67,722943.7711,1,1,1,7,2
225,BlackBackedJackal,3,212,47,2,WhiteCruiser,16,7,2012,North,6:30,7:32,9846930.064,722093.9236,9846890.206,722069.0174,1,1,1,7,1
226,Hyena,1,21,105,2,WhiteCruiser,16,7,2012,North,6:30,7:45,9847800.891,722216.0937,9847898.917,722253.7223,1,1,1,7,3
227,Hyena,1,102,64,2,WhiteCruiser,16,7,2012,North,6:30,7:59,9847190.279,723578.6487,9847176.973,723641.2501,1,1,1,8,1
228,BandedMongoose,16,357,74.5,2,WhiteCruiser,16,7,2012,North,6:30,8:14,9847461.639,724433.7087,9847536.037,724429.8096,0,1,1,8,2
229,Lion,1,220,286,2,WhiteCruiser,16,7,2012,North,6:30,8:25,9846689.788,724685.5992,9846470.699,724501.762,1,1,1,8,1
230,BlackBackedJackal,1,200,96,2,WhiteCruiser,16,7,2012,North,6:30,8:26,9846548.147,724531.5881,9846457.937,724498.7542,1,0,1,8,1
231,BandedMongoose,8,200,42,2,WhiteCruiser,16,7,2012,North,6:30,13:53,9850192.824,720979.5177,9850153.357,720965.1529,0,1,1,6,1
232,Hyena,1,71,100.5,2,Maruti,15,8,2012,North,6:25,6:54,9844599.948,719732.1016,9844632.668,719827.1262,1,1,2,2,1
233,Cheetah,1,64,142,2,Maruti,15,8,2012,North,6:25,7:01,9844904.89,720400.3901,9844967.138,720528.0188,1,1,2,2,1
234,Hyena,1,156,19,1,Maruti,16,8,2012,North,6:25,6:56,9853170.067,721481.2357,9853152.709,721488.9637,1,1,2,4,1
235,Hyena,8,241,109.5,1,Maruti,16,8,2012,North,6:25,7:54,9851174.834,719985.0867,9851121.747,719889.3158,1,1,2,5,1
236,BandedMongoose,10,23,22,1,Maruti,16,8,2012,North,6:25,9:55,9846322.407,722786.0667,9846342.658,722794.6628,0,1,2,7,1
237,BandedMongoose,3,73,47,1,Maruti,16,8,2012,North,6:25,10:13,9847651.909,721750.9908,9847665.651,721795.9372,1,0,2,7,1
238,Lion,4,303,21,1,Maruti,17,8,2012,North,6:28,10:56,9854313.24,719699.1456,9854324.677,719681.5335,1,1,2,4,1
239,Hyena,1,123,166,1,Maruti,17,8,2012,North,6:28,12:55,9848429.249,719675.7002,9848338.839,719814.9195,1,1,2,6,2
240,Hyena,1,0,0,1,Maruti,21,9,2012,North,6:16,10:45,9851020.212,719843.5093,9851020.212,719843.5093,1,1,3,5,1
241,Hyena,1,198,79,1,Maruti,22,9,2012,North,6:15,6:48,9853392.391,721611.6636,9853317.258,721587.2512,1,1,3,4,1
242,Lion,1,18,358.5,1,Maruti,22,9,2012,North,6:15,7:38,9851153.009,718336.3076,9851493.963,718447.0902,1,1,3,5,4
243,BandedMongoose,12,108,91,1,Maruti,22,9,2012,North,6:15,8:13,9849563.216,719347.0897,9849535.095,719433.6358,0,1,3,6,2
244,Lion,4,135,107,1,Maruti,23,9,2012,North,6:19,6:31,9846737.01,721036.9234,9846661.35,721112.5838,1,1,3,7,2
245,BlackBackedJackal,1,60,80.5,1,Maruti,23,9,2012,North,6:19,6:43,9844836.957,723056.3861,9844877.207,723126.1011,1,1,3,7,1
246,BlackBackedJackal,1,124,14.5,1,Maruti,23,9,2012,North,6:19,6:56,9846293.136,722758.7517,9846285.028,722770.7728,1,1,3,7,1
247,BandedMongoose,12,214,157,1,Maruti,23,9,2012,North,6:19,7:56,9846591.759,724582.0263,9846461.6,724494.2331,0,1,3,8,1
248,Hyena,1,347,123,1,Maruti,23,9,2012,North,6:19,8:56,9843006.335,718246.9492,9843126.182,718219.2802,1,1,3,1,2
249,Lion,1,19,392.5,1,Maruti,23,9,2012,North,6:19,10:00,9848510.174,717247.5489,9848881.29,717375.3344,1,1,3,3,8
250,Hyena,1,60,252.5,2,Maruti,27,10,2012,North,6:10,7:28,9851562.991,720170.5924,9851689.241,720389.2638,1,1,4,5,3
251,BandedMongoose,17,130,70,2,Maruti,27,10,2012,North,6:10,7:50,9848423.049,719392.7572,9848378.054,719446.3803,1,1,4,6,1
252,BandedMongoose,5,256,27,2,Maruti,27,10,2012,North,6:10,11:43,9848256.282,717538.5238,9848249.75,717512.3258,0,1,4,3,1
253,Hyena,1,245,452.5,1,Maruti,28,10,2012,North,6:09,6:10,9847778.142,721129.1525,9847586.907,720719.0482,1,1,4,6,7
254,BatEaredFox,2,297,77,1,Maruti,28,10,2012,North,6:09,6:51,9847357.296,721703.0215,9847392.253,721634.414,1,1,4,7,1
255,Hyena,1,297,133,1,Maruti,28,10,2012,North,6:09,8:22,9842775.044,718609.9735,9842835.425,718491.4697,1,1,4,1,2
256,Lion,4,15,230,1,Maruti,28,10,2012,North,6:09,10:04,9853598.763,717326.2657,9853820.926,717385.7941,1,1,4,3,5
257,Hyena,1,18,139,1,Maruti,28,10,2012,North,6:09,12:02,9850078.02,720914.496,9850210.217,720957.4494,1,1,4,6,1
258,Hyena,1,0,0,1,Maruti,24,11,2012,North,6:08,6:09,9842513.347,719503.9969,9842513.347,719503.9969,1,0,5,1,1
